subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag
S-ad39ef,A-e40f45,2024-08-25,Unknown,Pro,1970-01-01 00:00:00.000000021,0,0,True,True,False,False,annual,True
S-bf806d,A-7c5768,2024-09-21,Unknown,Basic,1970-01-01 00:00:00.000000062,1178,14136,False,False,False,False,annual,True
S-36f6ec,A-ccb686,2024-08-16,Unknown,Pro,1970-01-01 00:00:00.000000021,1029,12348,False,True,False,False,monthly,True
S-aff55c,A-bb2f49,2024-01-14,2024-12-29 00:00:00,Pro,1970-01-01 00:00:00.000000008,0,0,True,False,False,True,monthly,True
S-b9fc6c,A-2ebb4b,2023-06-16,Unknown,Basic,1970-01-01 00:00:00.000000041,779,9348,False,False,False,False,annual,True
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17 00:00:00,Enterprise,1970-01-01 00:00:00.000000020,3980,47760,False,False,False,True,monthly,True
S-e912e6,A-a8d89d,2023-12-12,Unknown,Enterprise,1970-01-01 00:00:00.000000078,15522,186264,False,False,False,False,monthly,True
S-fef85a,A-7f8241,2024-08-06,Unknown,Pro,1970-01-01 00:00:00.000000034,1666,19992,False,False,False,False,annual,True
S-36d5c9,A-54ecc2,2023-09-16,Unknown,Enterprise,1970-01-01 00:00:00.000000011,2189,26268,False,False,False,False,monthly,True
S-b9ff15,A-95b24a,2024-01-08,Unknown,Enterprise,1970-01-01 00:00:00.000000043,8557,102684,False,False,False,False,annual,False
S-10bd09,A-bbc346,2024-09-03,Unknown,Basic,1970-01-01 00:00:00.000000050,950,11400,False,False,False,False,annual,True
S-12bfc8,A-31ab9a,2024-12-06,Unknown,Enterprise,1970-01-01 00:00:00.000000029,5771,69252,False,False,False,False,monthly,False
S-f5c472,A-faa28c,2024-07-09,Unknown,Basic,1970-01-01 00:00:00.000000048,912,10944,False,False,False,False,monthly,True
S-dbc1ca,A-8adedc,2024-04-24,Unknown,Enterprise,1970-01-01 00:00:00.000000014,2786,33432,False,False,False,False,annual,True
S-dc6dfd,A-e08cd3,2024-09-30,Unknown,Pro,1970-01-01 00:00:00.000000067,3283,39396,False,False,False,False,monthly,True
S-b2d472,A-bcf87c,2024-08-27,2024-12-11 00:00:00,Enterprise,1970-01-01 00:00:00.000000010,1990,23880,False,False,False,True,annual,False
S-9dfce0,A-e6afc1,2024-08-30,Unknown,Pro,1970-01-01 00:00:00.000000002,98,1176,False,False,False,False,annual,True
S-9cb6a7,A-7f29a7,2024-12-21,Unknown,Basic,1970-01-01 00:00:00.000000041,779,9348,False,False,False,False,monthly,True
S-dabcd2,A-3ce5b8,2024-09-22,Unknown,Pro,1970-01-01 00:00:00.000000028,0,0,True,False,False,False,monthly,True
S-8c3cc8,A-b2225d,2024-10-17,Unknown,Basic,1970-01-01 00:00:00.000000047,0,0,True,False,False,False,monthly,True
S-2923fc,A-fa3095,2024-07-08,Unknown,Enterprise,1970-01-01 00:00:00.000000070,13930,167160,False,False,False,False,annual,True
S-f0a2e5,A-55f257,2024-06-05,Unknown,Basic,1970-01-01 00:00:00.000000023,0,0,True,False,False,False,annual,True
S-025bea,A-9affe6,2024-06-25,Unknown,Pro,1970-01-01 00:00:00.000000017,833,9996,False,True,False,False,monthly,True
S-0e499f,A-296d7c,2024-08-17,Unknown,Pro,1970-01-01 00:00:00.000000016,784,9408,False,False,False,False,annual,False
S-0267b7,A-65a46c,2024-10-17,2024-12-04 00:00:00,Enterprise,1970-01-01 00:00:00.000000013,0,0,True,False,False,True,monthly,True
S-b5b9a5,A-812c5b,2024-07-25,Unknown,Basic,1970-01-01 00:00:00.000000055,1045,12540,False,False,False,False,monthly,True
S-8e45ba,A-7f8241,2023-12-13,Unknown,Basic,1970-01-01 00:00:00.000000034,646,7752,False,False,False,False,annual,False
S-37ed34,A-d4ac0e,2024-07-07,Unknown,Enterprise,1970-01-01 00:00:00.000000020,3980,47760,False,False,False,False,annual,True
S-65dbf3,A-17939a,2024-12-28,Unknown,Basic,1970-01-01 00:00:00.000000036,684,8208,False,False,False,False,monthly,True
S-ce5450,A-0a282f,2024-12-25,2024-12-28 00:00:00,Pro,1970-01-01 00:00:00.000000008,0,0,True,False,False,True,annual,True
S-6c969d,A-855a48,2024-05-08,Unknown,Basic,1970-01-01 00:00:00.000000014,266,3192,False,False,False,False,monthly,False
S-522aef,A-f3ff05,2024-08-22,Unknown,Pro,1970-01-01 00:00:00.000000004,196,2352,False,False,False,False,annual,True
S-82db05,A-417d2f,2024-12-09,Unknown,Pro,1970-01-01 00:00:00.000000026,1274,15288,False,False,False,False,monthly,True
S-162596,A-462d45,2024-02-29,Unknown,Pro,1970-01-01 00:00:00.000000018,0,0,True,False,False,False,monthly,True
S-f703bd,A-202b67,2024-09-04,Unknown,Pro,1970-01-01 00:00:00.000000011,539,6468,False,False,False,False,monthly,True
S-a1d6ad,A-eafc6e,2024-09-01,Unknown,Pro,1970-01-01 00:00:00.000000027,1323,15876,False,False,False,False,monthly,True
S-8b1fc1,A-309e54,2024-12-26,Unknown,Basic,1970-01-01 00:00:00.000000015,0,0,True,False,False,False,monthly,True
S-09cdac,A-82861f,2024-07-31,2024-09-04 00:00:00,Basic,1970-01-01 00:00:00.000000041,779,9348,False,False,False,True,annual,True
S-fa5301,A-ba6516,2024-03-14,Unknown,Pro,1970-01-01 00:00:00.000000055,0,0,True,False,False,False,monthly,False
S-69937b,A-08e34e,2024-08-08,Unknown,Pro,1970-01-01 00:00:00.000000014,686,8232,False,False,False,False,annual,False
S-f2537d,A-e43bf7,2024-01-24,Unknown,Pro,1970-01-01 00:00:00.000000044,2156,25872,False,False,False,False,monthly,True
S-27f7b2,A-a1b80b,2024-04-03,Unknown,Basic,1970-01-01 00:00:00.000000038,722,8664,False,False,False,False,annual,True
S-9c2b8e,A-443f6f,2024-12-26,Unknown,Basic,1970-01-01 00:00:00.000000019,361,4332,False,True,False,False,annual,True
S-a4f26d,A-32728c,2023-05-21,Unknown,Pro,1970-01-01 00:00:00.000000020,980,11760,False,False,False,False,monthly,True
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18 00:00:00,Pro,1970-01-01 00:00:00.000000053,2597,31164,False,False,False,True,annual,True
S-367dee,A-e19ff6,2024-06-29,Unknown,Pro,1970-01-01 00:00:00.000000001,49,588,False,False,False,False,annual,True
S-3b9ad8,A-6e08f3,2024-12-24,Unknown,Enterprise,1970-01-01 00:00:00.000000028,5572,66864,False,False,False,False,monthly,False
S-c9f8c1,A-544d0a,2024-07-23,Unknown,Enterprise,1970-01-01 00:00:00.000000005,995,11940,False,False,True,False,monthly,True
S-57cd05,A-8b0451,2024-10-26,Unknown,Basic,1970-01-01 00:00:00.000000041,779,9348,False,False,False,False,annual,True
S-e505c1,A-8ae3fc,2024-09-17,Unknown,Pro,1970-01-01 00:00:00.000000034,1666,19992,False,False,False,False,annual,True
S-121b4d,A-8ae3fc,2024-11-22,Unknown,Basic,1970-01-01 00:00:00.000000009,171,2052,False,False,False,False,annual,True
S-72b4f2,A-4437e4,2024-02-06,Unknown,Pro,1970-01-01 00:00:00.000000049,2401,28812,False,False,False,False,annual,True
S-c9b0cc,A-4d1e75,2024-10-11,Unknown,Enterprise,1970-01-01 00:00:00.000000038,7562,90744,False,False,False,False,monthly,True
S-27c993,A-098560,2024-11-17,Unknown,Enterprise,1970-01-01 00:00:00.000000004,796,9552,False,False,False,False,monthly,True
S-8b9889,A-ac9111,2024-08-18,Unknown,Pro,1970-01-01 00:00:00.000000021,1029,12348,False,False,False,False,monthly,True
S-2214c6,A-3c1a3f,2024-10-07,Unknown,Pro,1970-01-01 00:00:00.000000082,4018,48216,False,False,False,False,monthly,True
S-ce695e,A-cb6cc6,2024-05-25,Unknown,Enterprise,1970-01-01 00:00:00.000000013,0,0,True,False,False,False,annual,False
S-066d80,A-9b9fe9,2024-08-17,Unknown,Pro,1970-01-01 00:00:00.000000005,245,2940,False,False,False,False,monthly,True
S-228457,A-029f69,2024-05-24,Unknown,Enterprise,1970-01-01 00:00:00.000000024,4776,57312,False,False,False,False,annual,True
S-e50612,A-c7e58b,2024-07-15,Unknown,Basic,1970-01-01 00:00:00.000000013,247,2964,False,False,False,False,annual,False
S-64fba3,A-00bed1,2024-07-16,Unknown,Enterprise,1970-01-01 00:00:00.000000028,5572,66864,False,False,False,False,annual,True
S-2372d2,A-cea1f0,2024-12-22,Unknown,Enterprise,1970-01-01 00:00:00.000000021,4179,50148,False,False,False,False,annual,False
S-2661dc,A-c37cab,2024-08-07,Unknown,Pro,1970-01-01 00:00:00.000000020,0,0,True,False,False,False,monthly,True
S-427275,A-4c38bc,2024-07-14,Unknown,Enterprise,1970-01-01 00:00:00.000000036,7164,85968,False,False,False,False,annual,True
S-628729,A-157070,2024-10-05,Unknown,Enterprise,1970-01-01 00:00:00.000000023,4577,54924,False,False,True,False,monthly,True
S-e260ff,A-bcf87c,2024-12-09,Unknown,Enterprise,1970-01-01 00:00:00.000000021,4179,50148,False,False,False,False,annual,True
S-89c03a,A-8ae3fc,2024-09-20,Unknown,Pro,1970-01-01 00:00:00.000000009,441,5292,False,False,False,False,monthly,True
S-86455a,A-1b9609,2023-12-01,Unknown,Pro,1970-01-01 00:00:00.000000012,588,7056,False,False,False,False,monthly,True
S-3660bb,A-474ad4,2024-12-14,Unknown,Enterprise,1970-01-01 00:00:00.000000010,0,0,True,False,False,False,monthly,False
S-6bf7d7,A-9bfc9f,2024-03-23,Unknown,Pro,1970-01-01 00:00:00.000000053,2597,31164,False,False,True,False,annual,False
S-feccd8,A-812c5b,2024-12-22,Unknown,Enterprise,1970-01-01 00:00:00.000000055,10945,131340,False,False,False,False,monthly,True
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15 00:00:00,Pro,1970-01-01 00:00:00.000000024,1176,14112,False,False,True,True,annual,True
S-0e0578,A-de58ca,2023-07-09,Unknown,Basic,1970-01-01 00:00:00.000000015,285,3420,False,False,False,False,monthly,True
S-74538d,A-e60f9d,2024-11-13,Unknown,Pro,1970-01-01 00:00:00.000000046,2254,27048,False,False,False,False,annual,True
S-c2a6cb,A-9affe6,2023-10-19,Unknown,Enterprise,1970-01-01 00:00:00.000000007,1393,16716,False,True,False,False,annual,False
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28 00:00:00,Basic,1970-01-01 00:00:00.000000038,722,8664,False,False,False,True,annual,True
S-3cc352,A-d27f50,2024-08-06,Unknown,Pro,1970-01-01 00:00:00.000000044,2156,25872,False,False,False,False,monthly,True
S-124207,A-fdfc91,2023-08-31,Unknown,Basic,1970-01-01 00:00:00.000000029,551,6612,False,False,False,False,annual,True
S-76e7d9,A-712f1c,2024-02-09,Unknown,Enterprise,1970-01-01 00:00:00.000000044,8756,105072,False,False,False,False,monthly,True
S-44f453,A-19b2c8,2024-02-10,Unknown,Enterprise,1970-01-01 00:00:00.000000020,3980,47760,False,False,False,False,monthly,True
S-03a97f,A-f51f16,2024-03-15,Unknown,Pro,1970-01-01 00:00:00.000000060,2940,35280,False,False,False,False,annual,True
S-80c01c,A-d3c88e,2024-12-16,Unknown,Basic,1970-01-01 00:00:00.000000016,304,3648,False,True,False,False,annual,True
S-666181,A-eb1312,2024-10-09,Unknown,Basic,1970-01-01 00:00:00.000000071,1349,16188,False,False,False,False,annual,True
S-401496,A-68f37c,2023-08-13,2024-06-22 00:00:00,Enterprise,1970-01-01 00:00:00.000000004,796,9552,False,True,False,True,monthly,True
S-ca0c98,A-fda07f,2024-11-28,Unknown,Pro,1970-01-01 00:00:00.000000007,343,4116,False,False,False,False,monthly,True
S-017e33,A-f9cc74,2024-11-08,2024-11-25 00:00:00,Basic,1970-01-01 00:00:00.000000053,1007,12084,False,False,False,True,monthly,True
S-183073,A-e7a1e2,2024-07-19,Unknown,Enterprise,1970-01-01 00:00:00.000000014,2786,33432,False,False,False,False,monthly,True
S-22f503,A-7a0d69,2024-09-06,Unknown,Basic,1970-01-01 00:00:00.000000006,114,1368,False,False,False,False,annual,True
S-7de1b7,A-4d1e75,2024-10-27,Unknown,Enterprise,1970-01-01 00:00:00.000000020,3980,47760,False,False,False,False,annual,True
S-c7f564,A-902ef7,2024-11-23,Unknown,Pro,1970-01-01 00:00:00.000000083,0,0,True,True,False,False,annual,True
S-ceffe9,A-89ee83,2024-11-23,Unknown,Enterprise,1970-01-01 00:00:00.000000002,398,4776,False,False,False,False,monthly,True
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05 00:00:00,Pro,1970-01-01 00:00:00.000000029,0,0,True,False,False,True,annual,True
S-cf6ec1,A-d77f4c,2024-08-04,Unknown,Enterprise,1970-01-01 00:00:00.000000022,4378,52536,False,True,False,False,monthly,False
S-a44d72,A-b30291,2024-06-12,Unknown,Pro,1970-01-01 00:00:00.000000018,882,10584,False,False,False,False,monthly,True
S-0b0ffa,A-180abf,2024-01-17,2024-04-19 00:00:00,Basic,1970-01-01 00:00:00.000000064,0,0,True,False,False,True,annual,True
S-02af5d,A-d82ef9,2024-08-07,Unknown,Enterprise,1970-01-01 00:00:00.000000026,0,0,True,False,False,False,annual,True
S-d07c53,A-249769,2024-09-24,Unknown,Basic,1970-01-01 00:00:00.000000021,399,4788,False,False,False,False,annual,True
S-c67b80,A-eb2fdc,2024-02-24,Unknown,Pro,1970-01-01 00:00:00.000000031,1519,18228,False,False,False,False,monthly,False
S-5d68fb,A-5f2961,2024-12-02,Unknown,Pro,1970-01-01 00:00:00.000000049,2401,28812,False,False,False,False,annual,True
S-fc9cc3,A-9b9fe9,2024-01-01,Unknown,Pro,1970-01-01 00:00:00.000000024,1176,14112,False,False,False,False,annual,True
S-17f71d,A-e40f45,2024-05-15,Unknown,Pro,1970-01-01 00:00:00.000000044,2156,25872,False,True,False,False,monthly,True
S-5895f0,A-bcf664,2023-10-05,Unknown,Basic,1970-01-01 00:00:00.000000008,0,0,True,False,False,False,annual,True
S-b042d9,A-0e966d,2024-11-15,Unknown,Enterprise,1970-01-01 00:00:00.000000011,2189,26268,False,False,False,False,annual,True
S-ffd1ee,A-f03140,2024-11-06,Unknown,Pro,1970-01-01 00:00:00.000000027,0,0,True,False,False,False,annual,True
S-9c4bcd,A-a7bd4b,2024-05-14,Unknown,Pro,1970-01-01 00:00:00.000000005,245,2940,False,True,False,False,monthly,True
S-4f91d0,A-7f8241,2024-10-12,Unknown,Basic,1970-01-01 00:00:00.000000034,646,7752,False,False,False,False,monthly,False
S-672f1b,A-eafc6e,2023-08-08,Unknown,Pro,1970-01-01 00:00:00.000000027,1323,15876,False,False,False,False,monthly,True
S-101201,A-d49cc5,2024-02-13,Unknown,Basic,1970-01-01 00:00:00.000000050,950,11400,False,False,False,False,annual,True
S-eea643,A-54ecc2,2024-10-30,Unknown,Enterprise,1970-01-01 00:00:00.000000028,5572,66864,False,False,False,False,monthly,True
S-5f9a67,A-6da850,2023-12-04,Unknown,Pro,1970-01-01 00:00:00.000000005,245,2940,False,False,False,False,annual,True
S-327e7c,A-4e960a,2024-02-07,Unknown,Enterprise,1970-01-01 00:00:00.000000017,0,0,True,False,False,False,annual,True
S-d97c5f,A-533452,2024-11-25,Unknown,Pro,1970-01-01 00:00:00.000000101,4949,59388,False,False,False,False,monthly,True
S-029c20,A-f44180,2024-12-13,Unknown,Basic,1970-01-01 00:00:00.000000010,0,0,True,False,False,False,annual,False
S-a74462,A-7c83a1,2024-05-14,Unknown,Pro,1970-01-01 00:00:00.000000048,2352,28224,False,False,False,False,annual,True
S-02ec76,A-e60f9d,2024-09-17,Unknown,Pro,1970-01-01 00:00:00.000000029,1421,17052,False,False,False,False,monthly,True
S-d1c9e3,A-075038,2024-01-09,Unknown,Basic,1970-01-01 00:00:00.000000017,323,3876,False,False,False,False,annual,True
S-51d8db,A-cc1d8d,2024-12-30,Unknown,Enterprise,1970-01-01 00:00:00.000000006,1194,14328,False,False,False,False,annual,True
S-c3c85e,A-271f46,2024-10-31,Unknown,Basic,1970-01-01 00:00:00.000000038,722,8664,False,False,False,False,monthly,True
S-44a646,A-1e1b80,2023-12-26,Unknown,Basic,1970-01-01 00:00:00.000000050,950,11400,False,False,False,False,annual,True
S-431c03,A-e4bf56,2024-12-02,2024-12-19 00:00:00,Enterprise,1970-01-01 00:00:00.000000037,7363,88356,False,False,False,True,monthly,True
S-4f0027,A-ff79f2,2024-12-31,2024-12-31 00:00:00,Enterprise,1970-01-01 00:00:00.000000019,3781,45372,False,False,False,True,annual,True
S-6c9ee1,A-6da850,2024-02-20,Unknown,Enterprise,1970-01-01 00:00:00.000000023,0,0,True,False,False,False,monthly,True
S-396a84,A-5b4ebb,2024-10-23,2024-11-27 00:00:00,Basic,1970-01-01 00:00:00.000000021,399,4788,False,False,False,True,monthly,False
S-6bea24,A-3f9cc0,2024-07-06,Unknown,Basic,1970-01-01 00:00:00.000000022,0,0,True,False,False,False,monthly,True
S-259804,A-d4ac0e,2024-10-01,Unknown,Basic,1970-01-01 00:00:00.000000028,532,6384,False,False,False,False,annual,True
S-33e40e,A-86cdb4,2024-10-10,2024-12-29 00:00:00,Enterprise,1970-01-01 00:00:00.000000002,398,4776,False,False,False,True,annual,True
S-fbd522,A-310452,2024-12-28,Unknown,Pro,1970-01-01 00:00:00.000000009,0,0,True,False,False,False,annual,False
S-bbafad,A-854864,2024-12-27,2024-12-30 00:00:00,Basic,1970-01-01 00:00:00.000000020,380,4560,False,False,False,True,annual,True
S-3edc14,A-d82ef9,2024-10-04,Unknown,Pro,1970-01-01 00:00:00.000000026,0,0,True,False,False,False,annual,True
S-11e29d,A-71615e,2024-10-13,Unknown,Basic,1970-01-01 00:00:00.000000032,608,7296,False,False,False,False,monthly,True
S-1feff8,A-5fe118,2024-12-06,Unknown,Enterprise,1970-01-01 00:00:00.000000039,7761,93132,False,False,False,False,annual,True
S-61e86c,A-39ddf4,2024-12-07,Unknown,Enterprise,1970-01-01 00:00:00.000000040,7960,95520,False,False,False,False,annual,True
S-af41f0,A-e83938,2024-06-27,Unknown,Basic,1970-01-01 00:00:00.000000002,38,456,False,False,False,False,annual,False
S-65ae02,A-671f31,2024-12-14,Unknown,Pro,1970-01-01 00:00:00.000000059,2891,34692,False,False,False,False,annual,True
S-f7fccd,A-443b7c,2024-11-18,Unknown,Basic,1970-01-01 00:00:00.000000006,0,0,True,True,False,False,annual,True
S-7904d3,A-d4e0d4,2024-11-30,2024-12-03 00:00:00,Enterprise,1970-01-01 00:00:00.000000117,23283,279396,False,False,False,True,monthly,True
S-48a54e,A-b2225d,2024-10-29,Unknown,Basic,1970-01-01 00:00:00.000000047,0,0,True,False,False,False,monthly,True
S-4a08bd,A-e08cd3,2024-10-11,Unknown,Pro,1970-01-01 00:00:00.000000067,3283,39396,False,False,False,False,annual,False
S-faa8ec,A-2e4581,2024-12-09,Unknown,Basic,1970-01-01 00:00:00.000000011,209,2508,False,False,False,False,monthly,True
S-8db104,A-4a267b,2024-10-18,Unknown,Pro,1970-01-01 00:00:00.000000025,1225,14700,False,False,True,False,monthly,True
S-3c0121,A-7c83a1,2024-12-30,Unknown,Pro,1970-01-01 00:00:00.000000024,1176,14112,False,False,False,False,monthly,True
S-13ca37,A-6843f2,2024-12-21,Unknown,Pro,1970-01-01 00:00:00.000000021,0,0,True,False,True,False,monthly,True
S-163e64,A-dfbd31,2024-11-08,Unknown,Enterprise,1970-01-01 00:00:00.000000062,12338,148056,False,False,False,False,monthly,True
S-4d1ba6,A-00cac8,2024-04-04,Unknown,Enterprise,1970-01-01 00:00:00.000000009,0,0,True,False,False,False,annual,False
S-e98d6b,A-309e54,2024-12-31,Unknown,Basic,1970-01-01 00:00:00.000000015,285,3420,False,False,False,False,annual,True
S-041624,A-6843f2,2024-12-12,Unknown,Enterprise,1970-01-01 00:00:00.000000021,4179,50148,False,False,False,False,monthly,True
S-b78829,A-2e4581,2024-11-12,Unknown,Pro,1970-01-01 00:00:00.000000020,980,11760,False,False,False,False,monthly,True
S-ca1c21,A-f92792,2024-12-02,Unknown,Basic,1970-01-01 00:00:00.000000009,0,0,True,False,False,False,annual,False
S-e1de58,A-ce550d,2024-10-28,Unknown,Enterprise,1970-01-01 00:00:00.000000035,6965,83580,False,True,False,False,annual,True
S-721fea,A-f6b2fb,2024-05-23,Unknown,Pro,1970-01-01 00:00:00.000000023,1127,13524,False,False,True,False,monthly,True
S-eaac58,A-ff3c73,2023-04-08,Unknown,Basic,1970-01-01 00:00:00.000000066,1254,15048,False,False,False,False,annual,True
S-1218fd,A-2d4502,2024-11-02,Unknown,Basic,1970-01-01 00:00:00.000000014,266,3192,False,True,False,False,monthly,False
S-936732,A-2f6a32,2024-11-28,2024-12-06 00:00:00,Pro,1970-01-01 00:00:00.000000019,931,11172,False,False,False,True,annual,True
S-c2f293,A-69b156,2024-12-10,2024-12-30 00:00:00,Basic,1970-01-01 00:00:00.000000008,152,1824,False,False,False,True,monthly,False
