usage_id,subscription_id,usage_date,feature_name,usage_count,usage_duration_secs,error_count,is_beta_feature
U-e5b4b3,S-c2f293,2024-12-12,Unknown,10,1970-01-01 00:00:00.000001340,0,Unknown
U-6043b0,S-24796e,2024-03-31,Unknown,12,1970-01-01 00:00:00.000001176,0,Unknown
U-9e1762,S-e301c9,2023-06-15,Unknown,14,1970-01-01 00:00:00.000007952,0,Unknown
U-14bb04,S-bf806d,2023-07-05,Unknown,8,1970-01-01 00:00:00.000003568,0,Unknown
U-291919,S-f366b3,2023-04-12,Unknown,8,1970-01-01 00:00:00.000001440,0,Unknown
U-f7842e,S-65071f,2023-12-28,Unknown,10,1970-01-01 00:00:00.000001320,2,Unknown
U-c5d688,S-9eeb7e,2024-08-09,Unknown,9,1970-01-01 00:00:00.000000081,0,Unknown
U-7c5c2b,S-4e00a0,2024-08-02,Unknown,11,1970-01-01 00:00:00.000004939,0,Unknown
U-c2633c,S-dbd6b9,2023-04-25,Unknown,10,1970-01-01 00:00:00.000004520,0,Unknown
U-912828,S-4793bb,2024-07-02,Unknown,15,1970-01-01 00:00:00.000005175,0,Unknown
U-031f15,S-008f3c,2024-07-17,Unknown,6,1970-01-01 00:00:00.000001950,0,Unknown
U-1662fe,S-8b64df,2024-04-19,Unknown,12,1970-01-01 00:00:00.000002112,1,Unknown
U-3ddaf4,S-195f9b,2024-01-26,Unknown,13,1970-01-01 00:00:00.000006942,2,Unknown
U-ef63a1,S-0921a1,2024-12-26,Unknown,12,1970-01-01 00:00:00.000004224,0,Unknown
U-bc70f2,S-34b845,2024-05-05,Unknown,10,1970-01-01 00:00:00.000002260,2,Unknown
U-a92688,S-70af60,2024-07-14,Unknown,5,1970-01-01 00:00:00.000000815,1,Unknown
U-28d115,S-38c5fd,2024-08-18,Unknown,9,1970-01-01 00:00:00.000001629,0,Unknown
U-9ec98a,S-8a6579,2023-10-10,Unknown,3,1970-01-01 00:00:00.000000969,0,Unknown
U-e377bf,S-6587d8,2024-11-04,Unknown,8,1970-01-01 00:00:00.000004248,0,Unknown
U-b39242,S-969f4c,2023-06-22,Unknown,5,1970-01-01 00:00:00.000000855,0,Unknown
U-f67d78,S-d0c344,2023-02-25,Unknown,9,1970-01-01 00:00:00.000005121,0,Unknown
U-6b41f7,S-e36ccb,2024-09-21,Unknown,8,1970-01-01 00:00:00.000004432,0,Unknown
U-5c5044,S-425607,2024-10-02,Unknown,13,1970-01-01 00:00:00.000001859,0,Unknown
U-62568a,S-22014f,2023-03-02,Unknown,15,1970-01-01 00:00:00.000001425,1,Unknown
U-d352f7,S-bc7cab,2023-10-13,Unknown,10,1970-01-01 00:00:00.000002900,0,Unknown
U-7eebdf,S-023f5f,2023-05-15,Unknown,11,1970-01-01 00:00:00.000001287,0,Unknown
U-b22092,S-d449e1,2024-03-07,Unknown,10,1970-01-01 00:00:00.000005960,0,Unknown
U-93c6a4,S-66bae1,2024-12-28,Unknown,13,1970-01-01 00:00:00.000000195,2,Unknown
U-0947d6,S-bcbe03,2024-10-04,Unknown,7,1970-01-01 00:00:00.000000945,0,Unknown
U-43761f,S-ff78bf,2024-10-11,Unknown,8,1970-01-01 00:00:00.000000448,1,Unknown
U-b01e54,S-455183,2024-12-13,Unknown,9,1970-01-01 00:00:00.000002061,0,Unknown
U-3e8544,S-7d2c1b,2023-05-14,Unknown,11,1970-01-01 00:00:00.000005654,0,Unknown
U-6b0253,S-e78c09,2023-05-11,Unknown,12,1970-01-01 00:00:00.000003048,2,Unknown
U-b4d3c5,S-5d5699,2023-07-18,Unknown,7,1970-01-01 00:00:00.000000966,0,Unknown
U-17b2c9,S-2881e0,2023-04-06,Unknown,11,1970-01-01 00:00:00.000003828,0,Unknown
U-691b21,S-0de78a,2024-02-21,Unknown,3,1970-01-01 00:00:00.000001230,0,Unknown
U-e8629b,S-1d63bf,2023-01-03,Unknown,11,1970-01-01 00:00:00.000003927,0,Unknown
U-d815de,S-6b1de8,2023-08-25,Unknown,15,1970-01-01 00:00:00.000007080,0,Unknown
U-167026,S-af5ec3,2023-12-31,Unknown,8,1970-01-01 00:00:00.000000824,0,Unknown
U-65e223,S-6d4050,2023-08-18,Unknown,9,1970-01-01 00:00:00.000000693,2,Unknown
U-ded235,S-faa8ec,2024-10-29,Unknown,5,1970-01-01 00:00:00.000000480,0,Unknown
U-780828,S-8fbabd,2024-11-30,Unknown,4,1970-01-01 00:00:00.000001940,0,Unknown
U-fffbc1,S-51dd23,2024-01-23,Unknown,5,1970-01-01 00:00:00.000000230,0,Unknown
U-37266b,S-b57a5e,2024-08-19,Unknown,19,1970-01-01 00:00:00.000004332,1,Unknown
U-e65d2a,S-bfc0f8,2023-01-30,Unknown,13,1970-01-01 00:00:00.000003354,1,Unknown
U-f633de,S-7d4d45,2023-10-10,Unknown,9,1970-01-01 00:00:00.000003609,4,Unknown
U-709d9a,S-e2f1fd,2023-06-16,Unknown,11,1970-01-01 00:00:00.000006446,0,Unknown
U-25ef2e,S-7b9b62,2023-07-27,Unknown,17,1970-01-01 00:00:00.000007378,1,Unknown
U-98cfbf,S-10fc7d,2023-01-15,Unknown,13,1970-01-01 00:00:00.000000806,0,Unknown
U-8e343f,S-4d8633,2024-02-20,Unknown,5,1970-01-01 00:00:00.000001910,0,Unknown
U-55f576,S-0c47cb,2024-02-07,Unknown,10,1970-01-01 00:00:00.000000460,3,Unknown
U-123e83,S-a5d1e3,2023-08-28,Unknown,11,1970-01-01 00:00:00.000001771,0,Unknown
U-1c4a11,S-7d0dea,2024-08-07,Unknown,9,1970-01-01 00:00:00.000003672,0,Unknown
U-f9497e,S-b91501,2024-01-06,Unknown,9,1970-01-01 00:00:00.000002835,0,Unknown
U-eb4a83,S-02d6c8,2023-10-21,Unknown,11,1970-01-01 00:00:00.000003432,0,Unknown
U-44acf2,S-695c1e,2024-03-27,Unknown,13,1970-01-01 00:00:00.000005265,1,Unknown
U-006569,S-b1d153,2024-12-02,Unknown,9,1970-01-01 00:00:00.000001782,0,Unknown
U-d91111,S-3ad221,2024-08-04,Unknown,15,1970-01-01 00:00:00.000005355,1,Unknown
U-15bbd9,S-2923fc,2023-11-06,Unknown,10,1970-01-01 00:00:00.000003900,0,Unknown
U-5a9e42,S-c77f0c,2024-04-09,Unknown,5,1970-01-01 00:00:00.000000685,1,Unknown
U-0f19cd,S-b1c57d,2024-01-30,Unknown,7,1970-01-01 00:00:00.000003143,1,Unknown
U-c28b7f,S-2ba4ee,2023-04-01,Unknown,10,1970-01-01 00:00:00.000001550,0,Unknown
U-faa910,S-b01b1c,2023-08-10,Unknown,9,1970-01-01 00:00:00.000001305,1,Unknown
U-260255,S-f28cde,2024-11-01,Unknown,7,1970-01-01 00:00:00.000002331,0,Unknown
U-bb48d0,S-16b6dc,2024-11-20,Unknown,12,1970-01-01 00:00:00.000001296,0,Unknown
U-8c1553,S-a916c8,2024-06-09,Unknown,6,1970-01-01 00:00:00.000003306,0,Unknown
U-384ace,S-a4139f,2024-08-31,Unknown,8,1970-01-01 00:00:00.000000840,1,Unknown
U-9e4889,S-12f05a,2023-06-01,Unknown,11,1970-01-01 00:00:00.000003553,0,Unknown
U-b24f60,S-7b29d1,2024-11-04,Unknown,11,1970-01-01 00:00:00.000006479,0,Unknown
U-dac1be,S-87ebe6,2023-09-27,Unknown,5,1970-01-01 00:00:00.000001050,0,Unknown
U-a204d5,S-debbee,2023-12-13,Unknown,11,1970-01-01 00:00:00.000001562,0,Unknown
U-183ef7,S-d6cffe,2024-04-16,Unknown,11,1970-01-01 00:00:00.000004169,1,Unknown
U-ac8aef,S-8a9db8,2024-01-09,Unknown,9,1970-01-01 00:00:00.000002214,4,Unknown
U-0178e0,S-e4ce2c,2023-09-09,Unknown,17,1970-01-01 00:00:00.000003604,0,Unknown
U-29fb62,S-6b7aa4,2024-12-07,Unknown,10,1970-01-01 00:00:00.000000840,0,Unknown
U-9656e3,S-871e83,2024-12-24,Unknown,7,1970-01-01 00:00:00.000003822,0,Unknown
U-259e01,S-11d922,2024-02-20,Unknown,7,1970-01-01 00:00:00.000002709,4,Unknown
U-3ab851,S-aad754,2024-01-14,Unknown,15,1970-01-01 00:00:00.000006060,1,Unknown
U-04745a,S-f1778c,2024-11-22,Unknown,12,1970-01-01 00:00:00.000006192,3,Unknown
U-b3b4a4,S-4dae4f,2024-04-09,Unknown,6,1970-01-01 00:00:00.000001674,0,Unknown
U-78de54,S-8b345c,2023-07-24,Unknown,8,1970-01-01 00:00:00.000002000,0,Unknown
U-dfc2a7,S-90432a,2024-01-15,Unknown,9,1970-01-01 00:00:00.000004392,0,Unknown
U-83e410,S-704cf3,2024-02-07,Unknown,14,1970-01-01 00:00:00.000007266,0,Unknown
U-bc9c63,S-46526e,2023-03-07,Unknown,10,1970-01-01 00:00:00.000002180,0,Unknown
U-f48199,S-9e7060,2023-05-10,Unknown,8,1970-01-01 00:00:00.000001488,0,Unknown
U-b426f0,S-0144ac,2023-10-20,Unknown,5,1970-01-01 00:00:00.000000135,0,Unknown
U-b484bd,S-6c4770,2024-12-15,Unknown,6,1970-01-01 00:00:00.000003546,2,Unknown
U-b4d7bc,S-802cc6,2024-09-25,Unknown,12,1970-01-01 00:00:00.000006300,1,Unknown
U-4a08b4,S-8ae507,2023-12-16,Unknown,9,1970-01-01 00:00:00.000003717,0,Unknown
U-62e148,S-5450af,2023-05-27,Unknown,7,1970-01-01 00:00:00.000002695,5,Unknown
U-a77713,S-97bc99,2024-01-26,Unknown,8,1970-01-01 00:00:00.000002512,0,Unknown
U-42ef12,S-97a57b,2023-07-06,Unknown,10,1970-01-01 00:00:00.000002500,0,Unknown
U-c67e37,S-2372d2,2024-04-09,Unknown,9,1970-01-01 00:00:00.000001296,3,Unknown
U-2e3df6,S-0638dc,2024-01-12,Unknown,13,1970-01-01 00:00:00.000001638,0,Unknown
U-48baed,S-0a8acf,2023-07-05,Unknown,7,1970-01-01 00:00:00.000000910,1,Unknown
U-62c766,S-a5d949,2023-02-23,Unknown,7,1970-01-01 00:00:00.000003934,3,Unknown
U-f1b167,S-d71fe9,2023-07-20,Unknown,10,1970-01-01 00:00:00.000001660,1,Unknown
U-42a464,S-628842,2023-04-30,Unknown,19,1970-01-01 00:00:00.000006251,2,Unknown
U-a12b4a,S-84e146,2023-08-07,Unknown,9,1970-01-01 00:00:00.000004212,0,Unknown
U-4cf4cb,S-bbc0f7,2024-02-27,Unknown,13,1970-01-01 00:00:00.000006149,0,Unknown
U-616f37,S-8f181e,2023-04-17,Unknown,11,1970-01-01 00:00:00.000000385,1,Unknown
U-99b91c,S-a2cd6a,2024-10-23,Unknown,8,1970-01-01 00:00:00.000004096,0,Unknown
U-c0295f,S-59778a,2023-12-31,Unknown,7,1970-01-01 00:00:00.000001050,0,Unknown
U-e19b2e,S-be601b,2023-03-23,Unknown,9,1970-01-01 00:00:00.000005103,0,Unknown
U-48f986,S-62fa42,2023-04-05,Unknown,7,1970-01-01 00:00:00.000002044,0,Unknown
U-690821,S-5ddf8d,2023-06-10,Unknown,11,1970-01-01 00:00:00.000004136,0,Unknown
U-6f9192,S-16a545,2023-06-30,Unknown,3,1970-01-01 00:00:00.000001566,1,Unknown
U-d2b4ef,S-9b8167,2023-09-23,Unknown,10,1970-01-01 00:00:00.000005150,0,Unknown
U-8d5b32,S-61a87e,2023-04-26,Unknown,8,1970-01-01 00:00:00.000001624,0,Unknown
U-068eef,S-834097,2024-10-25,Unknown,12,1970-01-01 00:00:00.000006552,0,Unknown
U-897937,S-7ba2ad,2023-12-16,Unknown,9,1970-01-01 00:00:00.000002088,2,Unknown
U-66ad5c,S-e9257d,2024-04-18,Unknown,10,1970-01-01 00:00:00.000001400,0,Unknown
U-faa335,S-2ebd06,2024-03-16,Unknown,8,1970-01-01 00:00:00.000002688,0,Unknown
U-931029,S-1bbf0a,2023-07-12,Unknown,8,1970-01-01 00:00:00.000003872,0,Unknown
U-2722af,S-b3bd43,2023-04-25,Unknown,8,1970-01-01 00:00:00.000000544,4,Unknown
U-342dd1,S-fc1114,2024-10-06,Unknown,10,1970-01-01 00:00:00.000001610,0,Unknown
U-b7c6c8,S-ee30bb,2024-07-03,Unknown,9,1970-01-01 00:00:00.000000270,0,Unknown
U-049032,S-c26c22,2023-11-30,Unknown,11,1970-01-01 00:00:00.000000561,0,Unknown
U-5686b9,S-f97609,2023-01-26,Unknown,13,1970-01-01 00:00:00.000006500,3,Unknown
U-add9aa,S-f2d47e,2023-05-12,Unknown,11,1970-01-01 00:00:00.000003531,0,Unknown
U-36c7a4,S-c6d8ce,2023-11-24,Unknown,5,1970-01-01 00:00:00.000001020,0,Unknown
U-ed15a8,S-9a8d01,2024-03-11,Unknown,12,1970-01-01 00:00:00.000003756,0,Unknown
U-88b809,S-d07886,2024-08-10,Unknown,5,1970-01-01 00:00:00.000001135,0,Unknown
U-0490cc,S-39b5ce,2024-06-25,Unknown,10,1970-01-01 00:00:00.000005110,0,Unknown
U-6267bd,S-10702d,2023-02-05,Unknown,12,1970-01-01 00:00:00.000001548,3,Unknown
U-7bffd5,S-cd8a6a,2024-01-23,Unknown,9,1970-01-01 00:00:00.000003231,0,Unknown
U-4445f3,S-aa7247,2024-12-27,Unknown,12,1970-01-01 00:00:00.000006420,3,Unknown
U-6de5a2,S-de6767,2023-06-30,Unknown,19,1970-01-01 00:00:00.000003705,0,Unknown
U-0a141e,S-bd2ab2,2024-10-08,Unknown,20,1970-01-01 00:00:00.000005140,0,Unknown
U-87ca79,S-b8fcc5,2023-05-11,Unknown,13,1970-01-01 00:00:00.000004745,0,Unknown
U-72b902,S-022a1e,2023-08-29,Unknown,11,1970-01-01 00:00:00.000001958,0,Unknown
U-52da99,S-9be237,2024-10-17,Unknown,8,1970-01-01 00:00:00.000001896,0,Unknown
U-36a7e4,S-503afa,2024-06-18,Unknown,7,1970-01-01 00:00:00.000001281,0,Unknown
U-a76823,S-79a9e1,2023-10-22,Unknown,6,1970-01-01 00:00:00.000002940,0,Unknown
U-1e39f8,S-a9fb74,2023-12-29,Unknown,10,1970-01-01 00:00:00.000001370,2,Unknown
U-ab4efe,S-fb95f2,2024-03-09,Unknown,8,1970-01-01 00:00:00.000000752,1,Unknown
U-e3feff,S-510999,2023-12-25,Unknown,6,1970-01-01 00:00:00.000002910,0,Unknown
U-83174b,S-ed2bb5,2023-04-04,Unknown,8,1970-01-01 00:00:00.000004552,0,Unknown
U-b7dda3,S-3aa11b,2023-02-16,Unknown,6,1970-01-01 00:00:00.000001176,0,Unknown
U-71aedb,S-6ce794,2024-09-13,Unknown,11,1970-01-01 00:00:00.000001408,0,Unknown
U-10b0be,S-02984e,2023-06-12,Unknown,11,1970-01-01 00:00:00.000004345,0,Unknown
U-4bdf83,S-2dad6b,2023-04-12,Unknown,10,1970-01-01 00:00:00.000005080,2,Unknown
U-84496f,S-ca136e,2023-06-09,Unknown,12,1970-01-01 00:00:00.000001284,2,Unknown
U-2b76fa,S-08a5fd,2024-10-22,Unknown,12,1970-01-01 00:00:00.000002784,0,Unknown
U-8f850b,S-6f43f7,2024-11-25,Unknown,11,1970-01-01 00:00:00.000002112,0,Unknown
U-5d4e12,S-36ad61,2024-05-19,Unknown,12,1970-01-01 00:00:00.000003276,0,Unknown
U-dbe096,S-a2cd6a,2023-09-22,Unknown,9,1970-01-01 00:00:00.000004446,2,Unknown
U-75e7bd,S-4d2011,2023-11-29,Unknown,11,1970-01-01 00:00:00.000003003,1,Unknown
U-f2eb07,S-2d62ad,2023-05-29,Unknown,10,1970-01-01 00:00:00.000002260,0,Unknown
U-ed3e27,S-69cc68,2023-05-26,Unknown,9,1970-01-01 00:00:00.000004725,0,Unknown
U-755e42,S-c7f564,2024-10-11,Unknown,10,1970-01-01 00:00:00.000003040,0,Unknown
U-1533e3,S-cc4bf0,2023-06-07,Unknown,7,1970-01-01 00:00:00.000004046,1,Unknown
U-a0c7fb,S-004eb4,2023-06-07,Unknown,8,1970-01-01 00:00:00.000001496,1,Unknown
U-c1baa6,S-9c06f8,2024-02-19,Unknown,9,1970-01-01 00:00:00.000003519,0,Unknown
U-9f3718,S-567afa,2024-09-24,Unknown,11,1970-01-01 00:00:00.000002431,3,Unknown
U-b10afb,S-a2ee32,2024-11-02,Unknown,12,1970-01-01 00:00:00.000004836,0,Unknown
U-a1cddd,S-7e2e5c,2024-10-12,Unknown,13,1970-01-01 00:00:00.000003315,2,Unknown
U-9f3c2a,S-39e88c,2024-10-25,Unknown,16,1970-01-01 00:00:00.000008784,0,Unknown
U-35c6b9,S-3e54f5,2023-10-06,Unknown,9,1970-01-01 00:00:00.000004572,0,Unknown
U-7db4a5,S-ee4c5c,2023-04-18,Unknown,5,1970-01-01 00:00:00.000000055,0,Unknown
U-5d6a94,S-86e45a,2024-11-16,Unknown,11,1970-01-01 00:00:00.000002629,5,Unknown
U-84c980,S-14a685,2023-11-09,Unknown,11,1970-01-01 00:00:00.000006380,1,Unknown
U-ff8c99,S-164594,2023-06-02,Unknown,14,1970-01-01 00:00:00.000001092,0,Unknown
U-62df4c,S-0e057d,2024-01-30,Unknown,14,1970-01-01 00:00:00.000005810,0,Unknown
U-d00bfb,S-863c87,2024-06-04,Unknown,9,1970-01-01 00:00:00.000003717,0,Unknown
U-fb4e9a,S-3cae3d,2024-08-07,Unknown,9,1970-01-01 00:00:00.000003411,2,Unknown
U-8986cb,S-4c9107,2023-03-06,Unknown,12,1970-01-01 00:00:00.000003456,0,Unknown
U-6d805b,S-51cb35,2023-02-16,Unknown,5,1970-01-01 00:00:00.000001655,0,Unknown
U-79899d,S-afed2d,2024-08-05,Unknown,11,1970-01-01 00:00:00.000002013,0,Unknown
U-a2b48e,S-175429,2024-01-13,Unknown,14,1970-01-01 00:00:00.000006202,0,Unknown
U-c3fd6c,S-79123c,2023-03-15,Unknown,19,1970-01-01 00:00:00.000011096,1,Unknown
U-0ecee2,S-106283,2023-12-04,Unknown,9,1970-01-01 00:00:00.000002547,1,Unknown
U-90ec66,S-c7f564,2024-08-06,Unknown,8,1970-01-01 00:00:00.000004760,2,Unknown
U-14fdac,S-c22c29,2024-08-29,Unknown,6,1970-01-01 00:00:00.000001998,0,Unknown
U-163a57,S-2ded06,2024-07-14,Unknown,10,1970-01-01 00:00:00.000003710,0,Unknown
U-83c8dd,S-404ecd,2023-03-03,Unknown,9,1970-01-01 00:00:00.000000045,0,Unknown
U-c09fa9,S-8fcce1,2023-01-19,Unknown,7,1970-01-01 00:00:00.000001239,0,Unknown
U-f870f2,S-497428,2023-06-12,Unknown,7,1970-01-01 00:00:00.000000539,0,Unknown
