account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_mrr,sub_count,total_usage_count,total_usage_duration,support_ticket_count,avg_ticket_resolution_time,has_churn_event,seniority_months,days_since_last_login,usage_trend_3m,ratio_critical_tickets,avg_resolution_delay,plan_changes_count,mrr_evolution
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,32571.0,19,1053,326283.0,3,32.67,True,3.2,1,0.75,0.33,32.67,2,342.0
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,43247.0,10,562,150186.0,2,20.5,False,1.7,40,0.35,1.0,20.5,1,-11741.0
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,16242.0,12,670,217275.0,3,40.33,False,20.6,1,1.98,0.67,40.33,2,-285.0
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,23432.0,12,642,159561.0,4,26.75,True,11.5,15,0.7,0.75,26.75,3,539.0
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,29407.0,13,658,173232.0,2,50.5,True,1.0,7,0.59,0.5,50.5,1,-1274.0
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,27746.0,8,531,170826.0,2,24.5,True,15.8,13,1.12,0.5,24.5,2,2786.0
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,13266.0,7,367,106259.0,6,50.17,True,0.9,4,1.1,0.33,50.17,0,418.0
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,11858.0,6,494,133559.0,6,41.67,False,16.3,0,4.0,0.33,41.67,0,-6812.0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,14646.0,9,427,137244.0,5,36.0,False,21.8,20,1.49,0.2,36.0,1,0.0
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,9299.0,8,511,157711.0,3,26.0,True,13.4,8,1.09,0.33,26.0,3,95.0
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,11844.0,14,653,191849.0,4,14.25,True,8.6,23,1.05,0.25,14.25,4,49.0
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,5175.0,8,337,98383.0,9,31.33,False,5.1,62,0.67,0.44,31.33,2,7.0
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,36445.0,14,687,208387.0,3,31.33,True,4.4,37,0.46,0.33,31.33,2,-171.0
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,75938.0,8,402,127433.0,3,57.67,True,7.4,9,0.41,0.0,57.67,0,12900.0
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,3613.0,7,324,98113.0,0,0.0,True,2.9,12,1.68,0.0,0,1,0.0
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,10162.0,9,488,150708.0,5,34.0,True,21.8,6,0.62,0.6,34.0,2,-1017.0
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,14121.0,9,602,171366.0,2,33.0,False,15.5,7,1.15,1.0,33.0,1,392.0
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,32433.0,16,791,237055.0,4,49.75,False,20.1,2,1.17,0.75,49.75,3,-5970.0
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,42096.0,10,538,185729.0,4,34.0,True,14.1,12,0.7,0.5,34.0,0,-2198.0
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,11069.0,7,329,105214.0,2,61.5,True,15.1,99,0.0,0.0,61.5,1,0.0
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,10236.0,10,540,175427.0,5,24.8,True,3.0,6,1.6,0.8,24.8,2,-420.0
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,8216.0,7,424,124978.0,5,45.4,False,17.3,7,0.82,0.0,45.4,2,2880.0
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,21821.0,11,651,186929.0,3,43.0,True,6.1,1,0.85,0.33,43.0,0,2156.0
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,17260.0,12,693,200177.0,6,23.67,True,20.2,5,0.72,0.33,23.67,2,-1601.0
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,7797.0,7,385,125675.0,1,27.0,True,22.0,7,1.83,1.0,27.0,2,798.0
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,456.0,4,248,81119.0,7,40.86,True,7.7,83,0.32,0.57,40.86,0,456.0
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,11392.0,9,376,127515.0,8,30.75,False,19.7,17,1.64,0.75,30.75,0,2017.0
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,20131.0,12,733,222582.0,4,64.0,True,6.2,6,0.96,0.75,64.0,3,450.0
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,14759.0,6,248,73517.0,5,44.2,True,0.8,16,1.41,0.4,44.2,0,3600.0
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,8771.0,11,647,195598.0,5,27.2,False,2.1,11,1.26,0.6,27.2,1,114.0
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,51109.0,12,706,207116.0,4,20.0,True,19.9,1,2.22,0.5,20.0,2,-11940.0
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,3565.0,7,493,146301.0,3,40.33,False,4.2,43,0.35,1.0,40.33,3,0.0
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,39516.0,15,734,227186.0,1,36.0,False,21.6,10,1.39,0.0,36.0,2,0.0
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,32394.0,13,666,215735.0,2,12.0,True,21.6,24,0.92,0.5,12.0,4,-968.0
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,19465.0,13,672,210327.0,3,42.67,True,5.8,0,0.53,0.33,42.67,1,-158.0
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,29071.0,10,465,127997.0,3,26.33,True,8.1,24,0.32,0.67,26.33,2,1127.0
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,10394.0,11,597,172764.0,2,18.5,True,20.8,7,1.82,0.0,18.5,3,3692.0
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,38210.0,15,693,203946.0,5,22.4,True,10.2,16,0.73,0.4,22.4,4,-3980.0
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,20475.0,12,489,131835.0,4,42.25,True,2.0,24,1.6,0.5,42.25,0,1970.0
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,23676.0,13,523,177958.0,5,27.4,True,15.6,10,1.29,0.4,27.4,3,-1272.0
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,19088.0,12,696,236693.0,2,42.0,True,9.8,23,0.67,1.0,42.0,2,-1557.0
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,31989.0,16,746,204124.0,3,47.33,True,9.1,28,1.22,0.67,47.33,3,796.0
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,26410.0,11,514,169854.0,6,23.33,True,20.9,4,2.46,0.33,23.33,1,-1686.0
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,25790.0,8,375,127687.0,3,50.33,True,16.8,8,1.78,0.67,50.33,3,2985.0
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,4498.0,8,418,115325.0,2,34.5,True,23.9,17,0.85,0.0,34.5,1,-980.0
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,48060.0,16,818,271358.0,3,48.33,False,9.8,2,0.86,0.67,48.33,2,0.0
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,9332.0,8,399,110456.0,3,42.67,True,17.6,18,0.98,0.0,42.67,1,3184.0
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,25928.0,17,924,261489.0,4,35.25,False,5.7,0,0.59,0.5,35.25,3,103.0
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,31390.0,13,477,148106.0,2,15.0,True,4.3,16,0.68,0.0,15.0,4,-7182.0
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,9420.0,9,439,120226.0,3,37.0,True,22.1,6,0.82,0.33,37.0,4,-5330.0
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,12116.0,12,565,187525.0,6,28.5,True,4.0,0,2.02,0.17,28.5,2,-1292.0
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,22673.0,12,464,150051.0,6,26.83,True,20.0,12,1.59,0.67,26.83,1,-6150.0
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,3498.0,5,295,102452.0,4,17.0,True,3.2,17,1.38,0.25,17.0,0,0.0
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,32477.0,13,729,220382.0,5,30.2,False,6.4,6,0.55,0.6,30.2,0,1393.0
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,41116.0,10,511,173162.0,5,39.4,True,13.4,17,1.86,1.0,39.4,1,0.0
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,23919.0,12,599,168143.0,5,24.2,True,2.3,1,0.74,0.2,24.2,6,-6879.0
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,39201.0,9,565,159213.0,5,51.4,True,8.6,9,1.94,0.6,51.4,2,855.0
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,18807.0,14,528,149124.0,2,45.0,True,5.9,4,1.52,0.0,45.0,2,6965.0
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,27994.0,11,396,123655.0,4,29.5,True,21.7,15,1.84,0.25,29.5,0,3297.0
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,27803.0,13,692,196300.0,5,35.4,False,5.7,6,0.42,0.0,35.4,1,630.0
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,10669.0,6,393,117237.0,2,15.5,True,1.5,13,1.93,1.0,15.5,1,-11.0
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,19725.0,12,597,196701.0,4,33.5,True,15.1,16,1.07,0.5,33.5,1,-588.0
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,11567.0,12,545,183399.0,1,72.0,True,14.8,6,0.65,0.0,72.0,1,-1393.0
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,53976.0,15,689,206138.0,2,39.0,False,0.9,2,0.82,0.5,39.0,2,0.0
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,14402.0,8,366,118465.0,3,17.67,False,20.9,1,3.05,1.0,17.67,0,-3184.0
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,8504.0,12,581,181056.0,3,36.67,True,12.8,8,0.53,1.0,36.67,0,-343.0
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,32956.0,14,684,219304.0,3,17.33,True,9.1,5,0.43,0.67,17.33,0,-6600.0
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,11567.0,12,511,150876.0,4,33.75,True,20.2,5,3.75,0.5,33.75,2,-181.0
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,25813.0,9,451,151460.0,1,51.0,False,22.8,19,1.3,1.0,51.0,1,392.0
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,3511.0,8,538,158701.0,8,41.25,True,19.7,20,0.98,0.12,41.25,1,-76.0
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,36456.0,10,455,124429.0,3,37.33,True,16.9,0,1.02,0.67,37.33,3,1680.0
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,13532.0,10,335,96672.0,4,28.5,False,10.3,23,0.36,0.5,28.5,2,2786.0
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,34782.0,19,993,281986.0,3,35.67,True,18.0,5,0.93,0.67,35.67,2,-3781.0
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,12312.0,8,461,147051.0,3,26.67,True,1.5,2,2.24,1.0,26.67,3,1862.0
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,19604.0,8,373,114563.0,1,36.0,True,22.7,11,4.06,0.0,36.0,0,-722.0
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,27506.0,16,696,186928.0,3,42.33,True,13.7,3,0.44,0.33,42.33,3,2388.0
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,23324.0,9,402,114217.0,7,30.57,True,12.9,5,0.47,0.57,30.57,1,0.0
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,69184.0,12,626,185229.0,6,39.83,False,2.4,27,0.32,0.5,39.83,0,-1748.0
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,21894.0,7,404,115260.0,0,0.0,False,23.1,5,1.14,0.0,0,2,8159.0
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,12617.0,8,438,156949.0,5,33.2,True,4.5,16,2.5,0.2,33.2,0,5381.0
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33,False,False,10692.0,9,449,138265.0,3,35.33,True,12.4,8,1.48,0.67,35.33,0,0.0
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,58404.0,14,585,162007.0,4,52.25,True,11.0,3,2.73,0.5,52.25,3,2273.0
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32,False,False,16122.0,5,229,73603.0,6,42.67,True,9.3,3,0.77,0.67,42.67,1,4065.0
A-3a7284,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,35519.0,12,609,191562.0,3,56.33,True,1.4,9,0.8,1.0,56.33,3,6169.0
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,28701.0,13,506,127878.0,4,44.75,False,12.9,16,0.62,1.0,44.75,2,0.0
A-65a46c,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,22675.0,8,370,115219.0,8,45.12,False,13.9,5,1.53,0.75,45.12,2,855.0
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,ads,Pro,6,False,True,14048.0,13,565,159394.0,2,35.5,False,10.4,4,1.06,0.0,35.5,3,398.0
A-fabe19,Company_97,DevTools,UK,2024-11-11,ads,Enterprise,1,False,False,20497.0,7,337,112966.0,3,40.67,False,1.6,6,1.29,1.0,40.67,2,-6169.0
A-adc1f3,Company_98,Cybersecurity,US,2024-08-05,organic,Pro,2,False,False,26608.0,9,334,120133.0,3,47.33,False,4.9,9,2.84,0.67,47.33,0,-7562.0
A-503d5a,Company_99,FinTech,US,2023-10-21,other,Enterprise,4,False,True,17884.0,12,605,211565.0,9,36.56,False,14.4,16,3.75,0.44,36.56,1,196.0
A-fd7ad3,Company_100,Cybersecurity,US,2024-11-01,event,Enterprise,1,False,False,3831.0,10,567,171957.0,8,48.75,True,2.0,36,0.68,0.5,48.75,2,551.0
A-186a44,Company_101,HealthTech,US,2023-08-07,ads,Enterprise,20,False,False,20989.0,14,614,205539.0,7,38.29,False,16.8,34,1.05,0.71,38.29,2,9353.0
A-e888d1,Company_102,Cybersecurity,US,2023-03-28,other,Pro,14,False,False,13646.0,11,552,158087.0,5,43.0,True,21.2,12,0.75,0.6,43.0,1,760.0
A-69fad4,Company_103,FinTech,UK,2023-04-06,ads,Basic,6,False,True,8721.0,7,412,124646.0,4,43.0,True,20.9,16,2.44,0.25,43.0,0,-909.0
A-9289f6,Company_104,EdTech,US,2023-05-31,event,Enterprise,1,False,False,13096.0,12,642,200375.0,6,37.5,True,19.1,32,1.07,0.5,37.5,2,-198.0
A-f19409,Company_105,DevTools,US,2023-03-16,other,Basic,23,False,True,34136.0,12,659,209812.0,3,6.33,True,21.6,4,1.24,0.33,6.33,2,-3450.0
A-22f2df,Company_106,DevTools,US,2024-12-14,ads,Basic,3,False,False,7451.0,9,429,119127.0,5,44.8,False,0.6,22,1.41,1.0,44.8,2,-1568.0
A-039727,Company_107,EdTech,AU,2024-11-02,organic,Pro,25,False,False,36420.0,15,768,249545.0,0,0.0,True,1.9,9,0.48,0.0,0,4,0.0
A-2e3bad,Company_108,FinTech,CA,2023-08-13,other,Pro,61,False,False,45872.0,10,435,123738.0,5,31.4,True,16.6,49,0.91,0.4,31.4,0,-1159.0
A-484819,Company_109,HealthTech,US,2023-02-21,organic,Pro,18,False,False,20604.0,8,336,116076.0,5,33.2,True,22.3,10,0.41,0.6,33.2,3,-76.0
A-425e76,Company_110,DevTools,UK,2023-05-17,other,Enterprise,8,False,True,17111.0,11,438,136419.0,5,48.2,True,19.5,10,0.43,0.6,48.2,1,171.0
A-e83938,Company_111,DevTools,UK,2023-11-21,other,Pro,2,True,True,7503.0,8,266,87249.0,4,31.0,True,13.3,16,0.56,0.0,31.0,2,1355.0
A-ad296b,Company_112,DevTools,AU,2024-07-15,event,Pro,38,False,False,18430.0,6,294,103805.0,3,28.33,False,5.6,17,1.2,0.67,28.33,0,0.0
A-e51ec7,Company_113,FinTech,CA,2023-09-23,partner,Enterprise,2,False,False,24076.0,8,417,126745.0,3,37.0,True,15.3,26,1.32,0.33,37.0,3,0.0
A-0aaf6e,Company_114,FinTech,US,2024-05-11,organic,Enterprise,3,False,False,24084.0,9,599,172442.0,5,45.0,False,7.7,8,1.94,0.2,45.0,0,1357.0
A-e61e98,Company_115,FinTech,US,2023-10-20,partner,Enterprise,19,False,True,13484.0,9,527,131994.0,6,30.33,True,14.4,4,0.11,0.33,30.33,2,1813.0
A-92a333,Company_116,FinTech,US,2023-03-24,event,Enterprise,9,False,False,10659.0,6,364,103645.0,4,23.25,False,21.3,11,1.65,0.25,23.25,1,5881.0
A-95b24a,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,25034.0,11,611,188856.0,5,21.2,False,18.9,0,2.22,0.8,21.2,4,722.0
A-42e5e1,Company_118,DevTools,US,2024-07-09,ads,Pro,1,False,True,8916.0,7,411,116704.0,3,29.0,True,5.7,5,1.57,0.67,29.0,2,490.0
A-7d514c,Company_119,HealthTech,DE,2024-02-03,organic,Enterprise,17,False,False,24274.0,9,502,146707.0,3,33.33,False,10.9,20,1.04,0.67,33.33,2,-1029.0
A-65aeb5,Company_120,DevTools,US,2024-01-25,partner,Pro,9,False,False,34392.0,12,533,148034.0,2,42.5,True,11.2,20,0.92,0.5,42.5,1,-8955.0
A-e2cd1b,Company_121,DevTools,US,2024-02-04,other,Enterprise,15,False,False,12548.0,9,465,138043.0,5,37.8,False,10.9,6,1.03,0.6,37.8,1,-1863.0
A-180abf,Company_122,DevTools,US,2023-08-14,event,Pro,64,False,True,37312.0,9,499,136250.0,3,36.33,True,16.6,14,0.61,0.0,36.33,2,3136.0
A-f17767,Company_123,DevTools,US,2023-01-30,event,Enterprise,1,True,True,16139.0,14,713,208977.0,3,36.33,True,23.0,6,0.58,0.67,36.33,3,-1236.0
A-5a184f,Company_124,DevTools,DE,2023-06-19,other,Enterprise,1,False,True,20683.0,10,587,175629.0,3,15.33,True,18.4,21,1.73,0.33,15.33,1,2786.0
A-7df7a7,Company_125,DevTools,US,2023-01-28,organic,Basic,7,False,True,29155.0,15,922,256811.0,3,28.0,True,23.1,12,1.4,1.0,28.0,2,1592.0
A-1ac5e0,Company_126,DevTools,US,2024-10-20,event,Basic,33,False,True,18249.0,10,558,167904.0,7,40.43,False,2.4,20,1.0,0.57,40.43,0,0.0
A-52dd88,Company_127,Cybersecurity,US,2023-02-21,ads,Pro,23,False,False,16592.0,11,516,180823.0,1,72.0,False,22.3,39,1.13,0.0,72.0,1,-4045.0
A-bece89,Company_128,Cybersecurity,IN,2023-12-01,event,Pro,26,False,False,19250.0,6,176,48112.0,4,32.5,True,13.0,3,2.44,0.5,32.5,1,4680.0
A-029f69,Company_129,Cybersecurity,CA,2024-03-07,event,Basic,3,False,False,14638.0,16,789,241275.0,2,42.0,True,9.8,0,0.37,0.5,42.0,2,-4491.0
A-5c046d,Company_130,EdTech,FR,2024-07-06,partner,Basic,93,False,False,83886.0,8,475,127926.0,1,13.0,False,5.8,14,1.56,0.0,13.0,0,0.0
A-fb186e,Company_131,EdTech,IN,2024-10-27,organic,Basic,29,False,False,5771.0,3,207,72170.0,6,26.17,False,2.1,64,0.81,0.33,26.17,0,5771.0
A-ae052e,Company_132,FinTech,CA,2023-09-11,other,Basic,39,False,False,7693.0,6,300,88383.0,4,31.25,True,15.7,30,2.08,0.5,31.25,2,-49.0
A-9f9299,Company_133,FinTech,US,2023-09-02,organic,Enterprise,28,True,False,42403.0,15,830,258465.0,5,36.2,True,16.0,5,0.87,0.4,36.2,0,-5040.0
A-96e141,Company_134,DevTools,UK,2023-08-12,partner,Basic,14,False,False,15468.0,7,346,81587.0,5,32.8,True,16.7,14,1.45,0.6,32.8,0,-4776.0
A-117171,Company_135,HealthTech,FR,2024-09-12,organic,Basic,45,False,True,12015.0,5,208,59864.0,6,32.5,True,3.6,20,0.37,0.33,32.5,1,1350.0
A-313be3,Company_136,EdTech,US,2023-11-15,partner,Enterprise,47,True,False,19006.0,11,560,164545.0,4,22.5,True,13.5,12,1.08,0.75,22.5,1,0.0
A-671f31,Company_137,DevTools,US,2024-11-24,ads,Basic,59,False,False,30385.0,6,167,43449.0,7,33.0,False,1.2,6,0.56,0.71,33.0,1,-1770.0
A-bbc346,Company_138,FinTech,US,2024-08-29,partner,Enterprise,19,False,False,33122.0,13,650,179376.0,3,45.33,True,4.1,8,0.58,0.33,45.33,5,8005.0
A-c16101,Company_139,EdTech,IN,2024-09-06,other,Basic,7,False,False,12422.0,10,561,185984.0,4,28.0,True,3.8,11,1.57,1.0,28.0,2,-760.0
A-50f3f7,Company_140,HealthTech,US,2023-12-22,partner,Basic,31,False,True,44077.0,15,685,206893.0,6,37.83,False,12.3,3,1.84,0.33,37.83,2,8955.0
A-7da956,Company_141,Cybersecurity,US,2024-06-02,event,Pro,13,True,False,10963.0,12,543,150431.0,3,32.67,False,7.0,9,0.98,0.33,32.67,3,-343.0
A-019782,Company_142,DevTools,FR,2023-04-19,event,Enterprise,11,False,False,8353.0,9,562,160848.0,2,10.0,False,20.4,11,0.58,1.0,10.0,1,0.0
A-df10db,Company_143,DevTools,US,2023-06-06,other,Enterprise,2,True,False,11730.0,11,697,214976.0,2,68.5,True,18.9,7,0.56,0.0,68.5,2,398.0
A-3932db,Company_144,HealthTech,CA,2023-10-04,other,Pro,19,True,True,14087.0,9,434,134963.0,6,41.0,False,14.9,10,1.3,0.5,41.0,2,-1764.0
A-4f18f0,Company_145,DevTools,CA,2024-04-21,other,Pro,24,True,False,30264.0,12,544,168051.0,5,39.2,True,8.3,9,1.28,0.4,39.2,1,0.0
A-4c6f11,Company_146,FinTech,CA,2023-11-27,organic,Pro,24,True,True,7586.0,5,268,84855.0,3,44.67,True,13.1,8,1.37,1.0,44.67,1,4320.0
A-8ae05d,Company_147,FinTech,IN,2024-04-06,other,Enterprise,86,False,False,26230.0,7,203,77446.0,1,47.0,True,8.8,7,4.27,1.0,47.0,0,-1634.0
A-b78bf8,Company_148,DevTools,US,2024-11-15,event,Pro,33,False,False,22423.0,8,421,123802.0,5,24.2,True,1.5,25,0.96,0.6,24.2,1,-990.0
A-eafc6e,Company_149,DevTools,US,2023-07-06,partner,Pro,27,False,True,16229.0,7,300,90218.0,1,64.0,True,17.9,31,0.84,0.0,64.0,0,4050.0
A-37f969,Company_150,HealthTech,IN,2023-10-14,partner,Enterprise,30,False,False,22959.0,8,312,107852.0,5,22.2,True,14.6,6,0.7,0.4,22.2,2,4500.0
A-10b8f2,Company_151,HealthTech,DE,2023-01-11,organic,Basic,47,True,False,30719.0,12,560,173183.0,3,46.33,True,23.7,5,0.74,0.33,46.33,1,988.0
A-439b2f,Company_152,DevTools,US,2024-02-21,ads,Enterprise,1,False,True,1796.0,6,171,54271.0,3,18.33,True,10.3,2,1.64,0.67,18.33,1,114.0
A-544d0a,Company_153,DevTools,US,2024-05-02,organic,Basic,2,True,False,18492.0,10,510,152826.0,2,38.5,False,8.0,13,2.0,0.5,38.5,3,-701.0
A-ba6516,Company_154,FinTech,US,2023-10-29,ads,Pro,27,False,False,28379.0,13,642,213554.0,6,31.5,True,14.1,12,0.54,0.17,31.5,4,-4860.0
A-712426,Company_155,HealthTech,US,2024-11-10,other,Enterprise,9,False,False,11197.0,15,696,214681.0,6,37.33,True,1.7,4,0.5,0.33,37.33,2,2261.0
